from,to,subject,body,type,parent_email_id
1,5,Deadline Reminder,Please review the attached file.,original,-
4,10,Follow-up,The meeting is at 3 PM.,forward,91
8,5,Meeting Update,Can you send me the report?,reply,34
4,3,Client Feedback,Thanks for the update.,original,-
2,4,Weekly Report,Here is the new assignment.,original,-
3,9,Deadline Reminder,The meeting is at 3 PM.,reply,11
1,3,Follow-up,Thanks for the update.,forward,19
8,1,Deadline Reminder,Thanks for the update.,forward,90
7,1,Project Status,The meeting is at 3 PM.,reply,88
3,9,New Assignment,Can you send me the report?,reply,101
7,3,Client Feedback,Thanks for the update.,reply,39
6,9,Budget Review,Here is the new assignment.,original,-
7,2,Meeting Update,General update on the project.,original,-
5,8,Weekly Report,Don't forget the deadline tomorrow.,forward,84
2,5,Party Invitation,The meeting is at 3 PM.,original,-
7,1,Weekly Report,The meeting is at 3 PM.,original,-
10,7,General Notice,Report will be ready soon.,forward,37
9,8,Deadline Reminder,Don't forget the deadline tomorrow.,original,-
2,5,Weekly Report,Don't forget the deadline tomorrow.,original,-
10,3,Party Invitation,Thanks for the update.,forward,29
2,9,Party Invitation,Please review the attached file.,forward,0
3,7,General Notice,Here is the new assignment.,reply,72
9,6,Client Feedback,Please review the attached file.,forward,45
5,7,Follow-up,General update on the project.,reply,76
2,5,Budget Review,General update on the project.,forward,27
9,10,Client Feedback,You're invited to the party!,original,-
3,9,Project Status,Here is the new assignment.,reply,48
9,1,Deadline Reminder,General update on the project.,original,-
7,9,Meeting Update,Here is the new assignment.,original,-
6,8,Client Feedback,Thanks for the update.,forward,116
10,3,Client Feedback,The meeting is at 3 PM.,original,-
10,2,New Assignment,You're invited to the party!,original,-
3,7,Client Feedback,Here is the new assignment.,reply,110
10,7,Weekly Report,The meeting is at 3 PM.,original,-
10,1,Deadline Reminder,Thanks for the update.,original,-
7,5,New Assignment,We need to finalize the budget.,reply,109
4,6,Budget Review,You're invited to the party!,original,-
8,10,Client Feedback,The meeting is at 3 PM.,reply,49
2,4,Deadline Reminder,Don't forget the deadline tomorrow.,forward,113
9,6,Meeting Update,General update on the project.,original,-
4,8,General Notice,Here is the new assignment.,reply,121
1,3,Project Status,You're invited to the party!,original,-
10,9,Meeting Update,General update on the project.,original,-
2,7,Project Status,We need to finalize the budget.,original,-
9,2,Budget Review,The meeting is at 3 PM.,reply,1
3,1,New Assignment,General update on the project.,original,-
4,10,Budget Review,Please review the attached file.,forward,80
1,7,Weekly Report,Thanks for the update.,forward,126
3,2,Follow-up,Don't forget the deadline tomorrow.,forward,17
6,5,Deadline Reminder,We need to finalize the budget.,forward,139
2,10,General Notice,We need to finalize the budget.,forward,32
8,3,Follow-up,Don't forget the deadline tomorrow.,forward,26
5,9,General Notice,Thanks for the update.,forward,4
8,10,Party Invitation,Don't forget the deadline tomorrow.,forward,113
2,10,New Assignment,Can you send me the report?,forward,139
2,4,Project Status,Here is the new assignment.,reply,80
1,8,Weekly Report,Don't forget the deadline tomorrow.,original,-
9,3,Follow-up,Please review the attached file.,reply,127
1,3,Party Invitation,Can you send me the report?,forward,150
9,1,Client Feedback,The meeting is at 3 PM.,forward,58
7,4,Client Feedback,The meeting is at 3 PM.,forward,41
9,2,General Notice,General update on the project.,forward,150
5,4,Weekly Report,General update on the project.,reply,134
9,8,Follow-up,Report will be ready soon.,reply,117
7,8,Project Status,You're invited to the party!,reply,131
3,10,Deadline Reminder,Here is the new assignment.,forward,49
3,6,Meeting Update,General update on the project.,original,-
8,3,Budget Review,We need to finalize the budget.,reply,153
10,4,Budget Review,You're invited to the party!,reply,44
9,3,General Notice,Here is the new assignment.,reply,5
10,5,Budget Review,Thanks for the update.,forward,120
2,9,Client Feedback,Here is the new assignment.,forward,30
3,9,Meeting Update,Please review the attached file.,reply,138
9,7,Party Invitation,You're invited to the party!,original,-
4,9,Weekly Report,Thanks for the update.,forward,71
1,7,Budget Review,Report will be ready soon.,original,-
6,4,Party Invitation,Here is the new assignment.,original,-
6,2,Deadline Reminder,The meeting is at 3 PM.,forward,96
10,2,Meeting Update,Here is the new assignment.,original,-
7,3,Follow-up,Don't forget the deadline tomorrow.,original,-
6,1,Weekly Report,The meeting is at 3 PM.,original,-
7,3,Client Feedback,Thanks for the update.,reply,74
10,3,Budget Review,You're invited to the party!,reply,3
4,9,Deadline Reminder,Please review the attached file.,forward,124
2,8,Weekly Report,Here is the new assignment.,reply,67
8,1,Weekly Report,The meeting is at 3 PM.,reply,31
10,6,Deadline Reminder,Don't forget the deadline tomorrow.,original,-
4,3,Meeting Update,We need to finalize the budget.,reply,121
4,7,Budget Review,The meeting is at 3 PM.,original,-
6,7,Weekly Report,Here is the new assignment.,original,-
6,1,Meeting Update,Don't forget the deadline tomorrow.,reply,136
8,1,Project Status,Can you send me the report?,original,-
3,9,General Notice,Here is the new assignment.,original,-
4,6,Weekly Report,We need to finalize the budget.,original,-
6,4,Follow-up,Can you send me the report?,original,-
10,4,Client Feedback,You're invited to the party!,forward,111
7,6,Meeting Update,You're invited to the party!,forward,22
10,2,Party Invitation,Can you send me the report?,forward,176
10,8,General Notice,The meeting is at 3 PM.,reply,56
7,9,Deadline Reminder,Can you send me the report?,forward,27
8,2,Budget Review,We need to finalize the budget.,original,-
7,9,Party Invitation,You're invited to the party!,forward,101
5,3,New Assignment,Can you send me the report?,forward,76
6,7,Weekly Report,Please review the attached file.,forward,193
5,10,General Notice,Please review the attached file.,original,-
5,3,Client Feedback,The meeting is at 3 PM.,original,-
6,8,Project Status,Report will be ready soon.,forward,197
